area,perimeter,circularity,solidity,extent,eccentricity,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,mean_B,std_B,mean_G,std_G,mean_R,std_R,mean_H,std_H,mean_S,std_S,mean_V,std_V,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation
47379.0,882.7737257480621,0.7640063299614617,0.9824674180136652,0.6354309165526676,0.7703559460383114,3.162189141571729,7.149300938455321,9.960902848899826,9.998382515652334,-9.999999999999998,-9.999999749317396,-9.999999999999996,113.09803962635614,18.503628971166872,142.65823315042098,13.54697789446285,157.33089682905376,10.15428168916525,20.32029908264567,3.264158158327587,72.47941188790683,21.53035820275442,157.3309177732166,10.154327414905069,16.157507107549627,0.8161481325741677,0.37147322307202435,0.9727352776541509
41683.5,871.7026598453522,0.6893460629100898,0.984727143869596,0.5711007288869403,0.8946397642285168,3.082400744679322,6.547269902685734,9.960280502510148,9.996679364336888,-10.0,-9.99999959832616,9.999999999999991,127.6150644532179,13.788778062987529,154.11411311420824,11.068839361293387,164.48373210293488,10.726863646481489,21.626765923036675,4.366846545516129,57.39159491984969,13.253656330166871,164.48423155591496,10.727223570748883,17.77466644799329,0.8477647689473373,0.4330468560192724,0.9752835580766419
35340.5,794.9087225198746,0.7028263389366403,0.9731519599069268,0.6561304816011289,0.8637195730326924,3.107866898636285,6.686684441534511,9.93641993848031,9.994972508508594,-9.999999999999993,-9.999998725845517,9.999999999999979,131.54128131831175,18.903594369031776,156.75023821534668,12.620870267872046,166.76007510789753,10.813926518802944,22.116136987837006,12.23340073330195,54.53127627375147,19.446044200430034,166.765708200213,10.822455103101905,22.42309394489852,0.7749761682776872,0.3474498430606741,0.9671808625654017
55969.5,1005.5361399650574,0.6956101699279248,0.9547932002149455,0.7500603055481104,0.8546957760382704,3.099898371529686,6.679497423655411,9.858310950168047,9.988774652603832,-9.9999999999999,-9.99999552084263,9.999999999999943,118.87914133267155,16.329703288837347,151.5719249109248,13.084607195777062,165.31147076028574,12.83310158915138,21.237214826369808,7.370868604859276,71.84067502171486,17.78616955388729,165.31281796748976,12.834869918701886,18.989080167320118,0.777137670513178,0.2686353082800983,0.9642838926473383
46803.0,1010.4894567728043,0.5759966830787898,0.9625196656075516,0.7531984743880654,0.49491615881039885,3.1913601726434506,8.01444344394506,9.979207310561321,9.99972124012457,10.0,9.999999981458267,-10.0,117.51113510309497,22.53464886163052,152.1855921080486,18.058631894731413,171.70259113425632,15.463239935334018,19.291290909860706,3.2629574009588955,81.34393920149033,24.583195112477345,171.70259113425632,15.463239935334018,24.190109629482038,0.7307571005577345,0.252441540415154,0.9561792091013692
58599.5,950.0214198827744,0.8159000876695318,0.984278287744287,0.7824951928212798,0.6442690933091944,3.1889562171447796,7.606984987405934,9.985192686493876,9.999812733775855,-10.0,-9.99999997142709,-10.0,128.51065848781644,16.44442872350646,158.7691903616091,11.33205841268764,169.95253668621004,9.921768461152512,21.67516182600739,3.002402005500367,62.655166570644255,16.952999325206626,169.952689192395,9.92192716662031,19.477338018523756,0.7819849145067235,0.25710429787621725,0.9625593261209503
37913.5,796.7665870189667,0.7504841347431387,0.9793480226280578,0.7119505004412897,0.8174158128731964,3.138286881073465,6.8751729125934,9.970264625980093,9.998550446726455,-9.999999999999998,-9.999999549823691,9.999999999999998,128.14206179099796,18.13254509578092,151.66163939568196,14.499666887549186,161.7392179413456,13.30390401840066,21.61681217000366,10.636906174884372,53.61581891369126,16.27989579894359,161.74873229128548,13.313814637027972,21.543692011416663,0.7670400151189594,0.29494357233950397,0.9631877715751773
45913.0,907.6366453170776,0.7003602531312335,0.9712823008007108,0.764923446012362,0.8193331293799075,3.139008921716676,6.902349222378499,9.942732244321249,9.996649029048754,-9.999999999999996,-9.99999930200582,9.99999999999999,124.17299013150792,18.05922579138572,148.25198125634327,15.572429619963318,159.21343583320737,14.485100736491848,21.25750933943726,9.619191402075618,56.75093394372584,15.259945932435933,159.218618411108,14.48998691263317,22.167272976446622,0.7063172255070435,0.24335518688590857,0.955077314001572
30237.0,707.0681027173996,0.760021840063795,0.9697873568748195,0.705812324929972,0.7485528105486766,3.167484219304661,7.1747715041719005,9.996377319301528,9.99993825573258,10.0,-9.999999994071969,10.0,120.41567073769687,18.115692634713312,146.23070626371108,15.415667024575235,158.33839756393044,13.769838403685979,20.63580105432042,6.5331138121284935,61.75387184440588,16.816099648313937,158.33872499263285,13.77028927445527,23.53620690645505,0.6949053390025812,0.2911110635843954,0.9576125136267594
20546.5,815.4528787136078,0.3882844301454386,0.7997080860173202,0.594172932330827,0.9257752266872433,2.972046685171191,6.212463775299899,9.61979746366599,9.932282669649126,9.999999999998284,9.999969490917259,-9.999999999996879,80.69778011673525,32.95273845708054,116.67261506075974,33.37720236597425,146.55463592000766,25.719540089325804,16.664194813893406,3.271367591541719,119.39374222562434,39.936872191956375,146.55463592000766,25.719540089325804,29.908434174425842,0.7168366746063375,0.3859979459938265,0.9401489959014953
44002.5,964.1879419088364,0.5947902267099975,0.9539320362039998,0.6441589811155028,0.712958536823488,3.171012332762648,7.2465425218390624,9.987784114389857,9.999472706423433,-10.0,-9.999999912303263,-10.0,100.39792839450574,27.313087053153946,137.05181265480746,20.65694628538916,163.07444269308715,13.54584224801049,17.899392028822337,2.0230182025156087,99.72677324926818,32.78968094477904,163.07444269308715,13.54584224801049,19.153881919335895,0.7629267824821475,0.35132809192937436,0.9668042596902287
50839.5,1016.874233007431,0.6178408926264436,0.948391971048017,0.6517633937156263,0.8026995331280308,3.1462701830772275,6.9600962509922,9.97923691883907,9.999226887351004,10.0,9.999999966526076,-10.0,125.56111165285226,20.7605649766545,156.8445051194539,15.712474579838942,171.1542662116041,13.396509987648663,20.59691857630424,2.153437097686388,68.86515845928815,19.830932260402566,171.1542662116041,13.396509987648663,18.64424265056278,0.836120001935834,0.35334550836002343,0.9734414299362624
45160.0,885.2934988737106,0.724084493906598,0.9841245627989583,0.7235092441282963,0.8398950607693854,3.1296565935459078,6.81444280839065,9.957817465869013,9.997948761235806,-9.999999999999995,-9.999999195428476,-10.0,140.4418145090462,23.14289945527418,169.8134551203232,16.83789060035806,184.46741612506588,11.881283083179708,20.13294835763218,6.800493102049552,61.73728701914632,26.330008696648274,184.46772352011243,11.881496442026279,23.336975018376638,0.8125210194417516,0.30234761089326895,0.967674980255897
25216.0,633.1269781589508,0.7905046347862978,0.9808238360107355,0.7216117216117216,0.7047065457452188,3.1767049375058605,7.30210110923095,9.989627024127874,9.999704650816515,10.0,9.999999990487924,-10.0,124.88025737602008,26.242598682697942,152.04245134965473,16.993744542154836,163.38826114249844,14.345421160628558,21.435695229127433,13.974127240299534,61.644224733207786,28.402449645547968,163.4225125549278,14.371829138391291,26.18626137761373,0.6939747994412226,0.2745935319020024,0.9548178717605666
21271.0,578.4163016080856,0.7989447055320504,0.9814968623108158,0.7727041557686719,0.6531749074423537,3.176905184134767,7.455829438825528,9.927645829066837,9.99771438892691,-9.999999999999995,-9.999999727156833,-9.999999999999995,110.07781287745053,16.819923137088285,140.3627241475425,14.491120044810774,153.1940908668587,13.408439975733282,21.086825234600017,5.481925414906755,72.40179318034005,15.752206871196856,153.1965994611168,13.411909197745066,27.081952964743472,0.7829161885209793,0.2523564321829365,0.9359886272827171
16377.0,529.1858533620834,0.7348991778968839,0.9621361219633993,0.6509141494435612,0.7660685032071822,3.153857837845212,7.102301235739593,9.901961092245017,9.98988906535831,9.999999999999925,9.999997516980438,9.999999999999973,102.57703891097458,24.087798144901363,136.29219371160102,21.42712407405883,152.58661607035296,19.503921663379,20.249849415733046,3.5220374642047028,85.58661607035297,24.786309891928607,152.58661607035296,19.503921663379,27.499337038045063,0.6679727725002403,0.33392246048735413,0.9499263070534945
